client_id,process_step,Variation_x,success,clnt_tenure_yr,clnt_tenure_mnth,clnt_age,gendr,num_accts,bal,calls_6_mnth,logons_6_mnth,Variation_y
555,confirm,Test,1,3.0,46.0,29.5,U,2.0,25454.66,2.0,6.0,Test
647,confirm,Test,1,12.0,151.0,57.5,M,2.0,30525.8,0.0,4.0,Test
1195,confirm,Control,1,21.0,262.0,54.5,M,2.0,28457.96,2.0,5.0,Control
1197,confirm,Control,1,7.0,85.0,28.5,U,5.0,177062.14,5.0,8.0,Control
1336,confirm,Test,1,48.0,576.0,42.0,M,4.0,130537.18,6.0,9.0,Test
1516,confirm,Test,1,12.0,150.0,58.5,F,2.0,25408.39,5.0,8.0,Test
1643,confirm,Test,1,19.0,229.0,55.0,M,2.0,81731.39,0.0,3.0,Test
1702,confirm,Test,1,21.0,260.0,62.5,U,3.0,1769255.99,5.0,8.0,Test
1755,confirm,Test,1,9.0,110.0,46.5,M,2.0,179775.21999999997,0.0,3.0,Test
1836,confirm,Test,1,13.0,157.0,51.5,M,2.0,826232.62,4.0,7.0,Test
1936,confirm,Test,1,5.0,63.0,26.5,M,2.0,52447.9,6.0,9.0,Test
3232,confirm,Test,1,9.0,116.0,52.0,F,2.0,45617.96,3.0,6.0,Test
3572,confirm,Test,1,15.0,189.0,54.5,M,2.0,84673.58,0.0,3.0,Test
3743,confirm,Control,1,6.0,75.0,30.0,U,3.0,48262.21,3.0,6.0,Control
4369,confirm,Test,1,14.0,172.0,70.5,F,2.0,191263.96,0.0,3.0,Test
4484,confirm,Test,1,16.0,199.0,48.5,M,2.0,51499.77,2.0,5.0,Test
4603,confirm,Test,1,12.0,154.0,38.5,F,2.0,48726.26,6.0,9.0,Test
4717,confirm,Test,1,7.0,86.0,58.0,U,2.0,1739571.5499999998,6.0,9.0,Test
4870,confirm,Test,1,21.0,253.0,26.5,M,3.0,89408.8,6.0,9.0,Test
5354,confirm,Control,1,4.0,58.0,50.5,U,2.0,62282.38,2.0,5.0,Control
6642,confirm,Control,1,12.0,149.0,35.5,M,2.0,34987.23,0.0,3.0,Control
6904,confirm,Test,1,12.0,155.0,64.5,M,2.0,348285.51,6.0,9.0,Test
6977,confirm,Control,1,4.0,57.0,53.0,U,2.0,26011.36,0.0,3.0,Control
6985,confirm,Control,1,7.0,89.0,61.5,U,3.0,84975.6,6.0,9.0,Control
